index,topic,prompt
68,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He awakens from a coma after a life-threatening gun shot wound to find the world overrun by zombies, to which they refer as ""walkers"". Conversation:  Wizard: Are you a fan of The Walking Dead, the post-apocalyptic TV series based on a comic book?  Apprentice: I don't watch it, but I know it's very popular. It's had several seasons I think, do you know how many exactly?  Wizard: I'm not sure how many seasons exactly but I know its a lot. Also, there are 2 TV series, 6 novels, video games and audio books, all Walking Dead related.  Apprentice: Wow it must be quite popular if there's so much material for it. Do you have a favorite actor/actress on the series?"
69,Game design,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators. Conversation:  Apprentice: I want to learn how to design video games, trying to read and learn about it  Wizard: It would be so interesting to help build a game for entertainment or educational purposes  Apprentice: Yes I agree. I wonder if education is required or just experience ?"
70,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds. Conversation:  Apprentice: I love to hunt. There's nothing like having some fresh meat.  Wizard: Absolutly, I have only ever hunted for food but it serves a good purpose in removing predators that are dangerous.  Apprentice: Yes, that it the best way to do it. Apparently in some areas the government will actually pay money to hunt for specific preditors!"
71,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The team with the most points at the end of a game wins. Conversation:  Wizard: My son wants to play football its a team sport and two teams play each other  Apprentice: Wow, I love watching  football even though I don't understand some of the rules.   Wizard: I know each team has eleven players and they have goalposts at each end of the rectangular field  Apprentice: Interesting, football fields are so huge! The players must be very athletic."
72,Skittles (sport),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In Catalonia, ""bitlles"", a local version of this game was formerly popular. Conversation:  Wizard: Skittles is actual a sport. I always thought it was candy.  Apprentice: Woah! Wait, really? What does the sport involve?  Wizard: Skittles is an Old European lawn game, kinda like ten-pen bowling.  Apprentice: Oh, that is actually really neat. Is it still played a lot in Europe?"
73,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Apprentice: I personally think bowling is a great game for competition and for recreational play. Do you ever bowl?  Wizard: I do sometimes! It's fun and relaxing to play a game where you can lob a ball down an aisle and knock down a bunch of pins.   Apprentice: I am very excited that I get to take a summer bowling course for PE next summer in college. I get coaching, and 2 hours of bowling a day. Should get good at it!"
74,Motivation,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium. Conversation:  Apprentice: Hi, do you have any advice on how to stay motived?  Wizard: For me Motivation is a word that is part of the popular culture as few other psychological concepts are, so you have to find your own ways to motivate yourself  Apprentice: Hmm, okay I see what you mean. What do you do to stay motivated when you have to do a rather mundane task? "
75,Instagram,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is owned by Facebook. Conversation:  Apprentice: Do you use social media?  Wizard: I use Facebook and Instagram to share pictures and videos to my followers! Do you use Instagram?   Apprentice: I use Instagram but mostly to follow people that I like. I rarely share anything though"
76,List of national parks of the United States,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Organic Act of 1916 created the National Park Service ""to conserve the scenery and the natural and historic objects and wildlife therein, and to provide for the enjoyment of the same in such manner and by such means as will leave them unimpaired for the enjoyment of future generations."" Conversation:  Apprentice: I want to buy a pass and visit all the national parks in the US.  Wizard: That could be fun!  The United States has 59 protected areas known as national parks that are operated by the National Park Service  Apprentice: I didnt realize they were so many. Do you know which park is the most visited?"
77,John Grisham,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Grisham's first bestseller, ""The Firm"", sold more than seven million copies. Conversation:  Apprentice: Have you ever read anything by John Grisham?  Wizard: Yes, I have read his very first novel ""A Time to Kill"" which was published in June 1989 after he took four years to write it!  Apprentice: I haven't read anything by him but I remember the movies for both a time to kill and the firm."
