episode_idx,topic,round,message,response,knowledge,gold
103,Green,4,When I think of green I think of golf.  Like a putting green!,"The band was called ""the band""",Chromium is a chemical element with symbol Cr and atomic number 24.,"Not only are golf courses green, but so are some minerals - particularly the  emerald, which is colored green by its chromium content."
104,Motivation,4,"How old are you? My son has ADHD and the older he got it did get better, but he still as a teen has trouble.",No,"Every country aims to provide basic education, but the systems and terminology remain unique to them.",I am 24.  When did his symptoms appear?  Were they before the age of twelve?  Did they last longer than six months?
105,Green,4,Yrs I do know it is a very popular color in Ireland.,"Wizard: Yes, I do.",Green is the color between blue and yellow on the visible spectrum.,Back in the middle ages green was often associated with merchants and bankers. Red was nobility's color of choice.
106,Bowling,4,Only once and it was ten years ago.,No,"The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular.",That's amazing! The best thing I have ever gotten was a turkey or 3 consecutive strikes.
107,Elvis Presley,4,"That's really cool. I've always been the other way around, haven't seen in act in much.","Wizard: I've always been the other way around, haven't seen him act","The ""Memphis Mafia"" was the nickname given by rock 'n' roll icon Elvis Presley to a group of friends, associates, employees and cousins whose main functions were to accompany, protect, and serve Elvis from the beginning of his career in 1954 until his death in 1977.","I was 10 when he died, so that may be why.  I visited Graceland with family, and learned about the Memphis Mafia, though!"
108,Bowling,3,"Yes, please!! I know you roll a ball down an alley to knock over pins. Do I have to hit them all the first time or do I get to try again?",No,It is one of the major forms of throwing sports.,Well objective of bowling is to score the highest pinfall by knocking down as many of the pins as possible so its pretty easy. Dont stress out about it. 
109,Accounting,3,"Yes, an old and noble profession, haha! What kind of engineering do you do?",No.,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","I'm into computer engineering, so anything hardware and software related really. Also I know that ""accounting"" and ""financial reporting"" are used as synonyms, but are they any different?"
110,Archery,3,"I see, when did archery originate? ","The word comes from the Latin ""arcus"".","The word comes from the Latin ""arcus"".",The use of Bow and Arrows as date as far back as Paleolithic or early Mesolithic periods.
111,Motivation,3,Yeah I recently started leaving messages for my girlfriend and she loves them,No.,"Praise refers to positive evaluations made by a person of another's products, performances, or attributes, where the evaluator presumes the validity of the standards on which the evaluation is based.",You can really reinforce positive behavior by staying motivated 
112,Cardigan (sweater),4,So buttons mean robe and ties mean cardigan? So they're very similar to one another!,The Platters formed in Los Angeles in 1952 and were initially managed by Federal Records A&,"Coco Chanel is credited with popularizing cardigans for women because ""she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.""",Actually the opposite. Cardigans have buttons but they are indeed a very similar garment.
113,Irish coffee,3,"Oh yes, Irish coffee is a great mix between the two. It is usually topped with a thick cream which I love.","He was born in Hell's Kitchen, New York.",The coffee is drunk through the cream.,"Yea I know that one has to add hot coffee, Irish whiskey, and sugar then a very thick cream "
114,Kurt Cobain,3,I never knew that. I was so sad when he died. Seems like so long ago. Do you remember what year that was?,Kurt Cobain formed the band Nirvana with Krist Novose,"Born in Aberdeen, Washington, Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987 and established it as part of the Seattle music scene which later became known as grunge.",I do! Kurt Donald Cobain was born in 1967 and lived until 1994
115,Bee,4,What happens if you get stung?,He will be very ill,"A location where bees are kept is called an apiary or ""bee yard.""","Well without medical attention I don't make it. I can't even eat honey, because of the pollen that is used as food for the bee larvae."
116,Motivation,3,Yes! Cleaning house is definitely not my favorite. I am extremely motivated if the task at hand is something in which I find interesting.,Wizard: I agree.,"Crowdsourcing is a sourcing model in which individuals or organizations obtain goods and services, including ideas and finances, from a large, relatively open and often rapidly-evolving group of internet users; it divides work between participants to achieve a cumulative result.",i can easily find motivation to watch my favorite tv series!
